Rhea americana;ema
Phaethon lepturus;rabo-de-palha-de-bico-laranja
Pelecanus occidentalis;pelicano-pardo
Morus capensis;atobá-do-cabo
Morus serrator;atobá-australiano
Sula dactylatra;atobá-grande
Sula sula;atobá-de-pé-vermelho
Sula leucogaster;atobá-pardo
Phalacrocorax brasilianus;biguá
Anhinga anhinga;biguatinga
Fregata magnificens;tesourão
Fregata minor;tesourão-grande
Fregata ariel;tesourão-pequeno
Tigrisoma lineatum;socó-boi
Tigrisoma fasciatum;socó-boi-escuro
Agamia agami;garça-da-mata
Cochlearius cochlearius;arapapá
Zebrilus undulatus;socoí-zigue-zague
Botaurus pinnatus;socó-boi-baio
Ixobrychus exilis;socoí-vermelho
Ixobrychus involucris;socoí-amarelo
Nycticorax nycticorax;savacu
Nyctanassa violacea;savacu-de-coroa
Butorides striata;socozinho
Ardeola ralloides;garça-caranguejeira
Bubulcus ibis;garça-vaqueira
Ardea cinerea;garça-real-européia
Ardea cocoi;garça-moura
Ardea alba;garça-branca-grande
Syrigma sibilatrix;maria-faceira
Pilherodius pileatus;garça-real
Egretta tricolor;garça-tricolor
Egretta thula;garça-branca-pequena
Egretta caerulea;garça-azul
Eudocimus ruber;guará
Plegadis chihi;caraúna-de-cara-branca
Cercibis oxycerca;trombeteiro
Mesembrinibis cayennensis;coró-coró
Phimosus infuscatus;tapicuru-de-cara-pelada
Theristicus caerulescens;maçarico-real
Theristicus caudatus;curicaca
Platalea ajaja;colhereiro
Ciconia maguari;maguari
Jabiru mycteria;tuiuiú
Mycteria americana;cabeça-seca
Phoenicopterus ruber;flamingo
Phoenicopterus chilensis;flamingo-chileno
Phoenicoparrus andinus;flamingo-grande-dos-andes
Cathartes aura;urubu-de-cabeça-vermelha
Cathartes burrovianus;urubu-de-cabeça-amarela
Cathartes melambrotus;urubu-da-mata
Coragyps atratus;urubu-de-cabeça-preta
Sarcoramphus papa;urubu-rei
Pandion haliaetus;águia-pescadora
Leptodon cayanensis;gavião-de-cabeça-cinza
Leptodon forbesi;gavião-de-pescoço-branco
Chondrohierax uncinatus;caracoleiro
Elanoides forficatus;gavião-tesoura
Gampsonyx swainsonii;gaviãozinho
Elanus leucurus;gavião-peneira
Rostrhamus sociabilis;gavião-caramujeiro
Rostrhamus hamatus;gavião-do-igapó
Harpagus bidentatus;gavião-ripina
Harpagus diodon;gavião-bombachinha
Ictinia mississippiensis;sauveiro-do-norte
Ictinia plumbea;sovi
Circus cinereus;gavião-cinza
Circus buffoni;gavião-do-banhado
Accipiter poliogaster;tauató-pintado
Accipiter superciliosus;gavião-miudinho
Accipiter striatus;gavião-miúdo
Accipiter bicolor;gavião-bombachinha-grande
Geranospiza caerulescens;gavião-pernilongo
Leucopternis schistaceus;gavião-azul
Leucopternis melanops;gavião-de-cara-preta
Leucopternis kuhli;gavião-vaqueiro
Leucopternis lacernulatus;gavião-pombo-pequeno
Leucopternis albicollis;gavião-branco
Leucopternis polionotus;gavião-pombo-grande
Buteogallus aequinoctialis;caranguejeiro
Buteogallus urubitinga;gavião-preto
Heterospizias meridionalis;gavião-caboclo
Harpyhaliaetus coronatus;águia-cinzenta
Busarellus nigricollis;gavião-belo
Parabuteo unicinctus;gavião-asa-de-telha
Percnohierax leucorrhous;gavião-de-sobre-branco
Rupornis magnirostris;gavião-carijó
Buteo albicaudatus;gavião-de-rabo-branco
Buteo melanoleucus;águia-chilena
Buteo nitidus;gavião-pedrês
Buteo platypterus;gavião-de-asa-larga
Buteo swainsoni;gavião-papa-gafanhoto
Buteo brachyurus;gavião-de-cauda-curta
Buteo albonotatus;gavião-de-rabo-barrado
Morphnus guianensis;uiraçu-falso
Harpia harpyja;gavião-real
Spizastur melanoleucus;gavião-pato
Spizaetus tyrannus;gavião-pega-macaco
Spizaetus ornatus;gavião-de-penacho
Daptrius ater;gavião-de-anta
Ibycter americanus;gralhão
Caracara cheriway;caracará-do-norte
Caracara plancus;caracará
Milvago chimachima;carrapateiro
Milvago chimango;chimango
Herpetotheres cachinnans;acauã
Micrastur ruficollis;falcão-caburé
Micrastur gilvicollis;falcão-mateiro
Micrastur mintoni;falcão-críptico
Micrastur mirandollei;tanatau
Micrastur semitorquatus;falcão-relógio
Micrastur buckleyi;falcão-de-buckley
Falco sparverius;quiriquiri
Falco columbarius;esmerilhão
Falco rufigularis;cauré
Falco deiroleucus;falcão-de-peito-laranja
Falco femoralis;falcão-de-coleira
Falco peregrinus;falcão-peregrino
Aramus guarauna;carão
Psophia crepitans;jacamim-de-costas-cinzentas
Psophia leucoptera;jacamim-de-costas-brancas
Psophia viridis;jacamim-de-costas-verdes
Coturnicops notatus;pinto-d'água-carijó
Micropygia schomburgkii;maxalalagá
Rallus longirostris;saracura-matraca
Aramides ypecaha;saracuruçu
Aramides mangle;saracura-do-mangue
Aramides cajanea;saracura-três-potes
Aramides calopterus;saracura-de-asa-vermelha
Aramides saracura;saracura-do-mato
Amaurolimnas concolor;saracura-lisa
Anurolimnas castaneiceps;sanã-de-cabeça-castanha
Laterallus viridis;sanã-castanha
Laterallus fasciatus;sanã-zebrada
Laterallus melanophaius;sanã-parda
Laterallus exilis;sanã-do-capim
Laterallus jamaicensis;açanã-preta
Laterallus leucopyrrhus;sanã-vermelha
Laterallus xenopterus;sanã-de-cara-ruiva
Porzana flaviventer;sanã-amarela
Porzana spiloptera;sanã-cinza
Porzana albicollis;sanã-carijó
Neocrex erythrops;turu-turu
Pardirallus maculatus;saracura-carijó
Pardirallus nigricans;saracura-sanã
Pardirallus sanguinolentus;saracura-do-banhado
Gallinula chloropus;frango-d'água-comum
Gallinula melanops;frango-d'água-carijó
Porphyrio martinica;frango-d'água-azul
